truck_id,maintenance_count,total_labor_hours,total_parts_cost,total_maintenance_cost,total_downtime_hours,cost_per_maintenance
TRK00065,26,110.1,45576.56,57516.6,589.8,1752.9446153846152
TRK00060,26,111.7,27397.45,39199.82,641.4,1053.748076923077
TRK00023,26,103.3,38452.69,49365.87,600.7,1478.9496153846155
TRK00006,26,103.5,39833.19,50780.83,587.7,1532.0457692307693
TRK00022,26,129.8,35304.84,48894.75,592.1,1357.8784615384614
TRK00082,25,94.1,30456.149999999998,40181.67,602.0,1218.2459999999999
TRK00041,25,108.0,48803.409999999996,59685.24,524.7,1952.1363999999999
TRK00010,25,120.4,37828.3,50406.72,603.1,1513.132
TRK00104,25,98.6,34244.59,44728.9,539.6,1369.7835999999998
TRK00018,25,117.6,30578.36,42430.74,664.5,1223.1344
TRK00093,25,89.8,32540.19,41656.12,565.0,1301.6076
TRK00057,25,113.2,45890.21,57753.94,651.2,1835.6084
TRK00119,24,95.7,32863.93,43409.1,489.6,1369.3304166666667
TRK00092,24,110.0,30108.99,41671.119999999995,433.6,1254.54125
TRK00027,24,91.1,34470.37,44230.56,599.3,1436.2654166666669
TRK00031,24,119.0,38791.03,51097.4,579.5,1616.2929166666665
TRK00061,24,92.6,34183.04,43993.58,530.4,1424.2933333333333
TRK00001,24,100.0,41584.479999999996,51775.99,713.2,1732.6866666666665
TRK00039,24,84.8,38687.46,47581.13,557.0,1611.9775
TRK00042,23,94.5,38605.7,48687.47,496.4,1678.5086956521739
TRK00051,23,102.3,38970.67,49991.87,577.3,1694.376956521739
TRK00096,23,107.39999999999999,29579.059999999998,40652.49,515.1,1286.0460869565215
TRK00100,23,90.3,38568.03,47941.29,613.1999999999999,1676.8708695652174
TRK00102,23,108.5,27465.260000000002,38928.81,567.5,1194.1417391304349
TRK00025,23,95.9,33659.26,44082.12,570.1,1463.4460869565219
TRK00029,23,100.8,29305.14,39776.71,540.1,1274.1365217391303
TRK00011,23,97.2,36255.33,46464.63,656.6,1576.318695652174
TRK00045,23,82.6,36860.06,45247.090000000004,571.2,1602.611304347826
TRK00004,22,78.1,30864.600000000002,38561.82,483.2,1402.9363636363637
TRK00024,22,84.6,34104.18,42592.229999999996,705.5,1550.19
TRK00064,22,88.6,37137.89,46296.36,510.2,1688.0859090909091
TRK00079,22,88.2,30039.56,39365.79,572.4,1365.4345454545455
TRK00012,21,87.5,31434.72,40327.38,450.1,1496.8914285714286
TRK00021,21,92.6,29110.760000000002,38803.04,641.1,1386.2266666666667
TRK00095,21,96.9,39656.01,50127.64,439.6,1888.3814285714286
TRK00089,21,97.0,23462.97,33730.47,611.4,1117.2842857142857
TRK00080,21,69.3,37916.229999999996,44894.62,504.4,1805.5347619047618
TRK00066,21,80.3,25153.31,33670.7,660.3,1197.7766666666666
TRK00037,21,83.0,32426.63,41154.92,582.6,1544.125238095238
TRK00015,21,98.1,23418.55,33711.95,562.5,1115.1690476190477
TRK00048,20,83.4,34534.57,43187.16,583.2,1726.7285
TRK00056,20,80.6,30718.81,39387.64,536.3,1535.9405000000002
TRK00058,20,78.0,37570.44,45745.44,414.9,1878.5220000000002
TRK00086,20,92.8,32968.2,42953.68,432.9,1648.4099999999999
TRK00017,20,81.5,37640.03,46265.840000000004,510.0,1882.0014999999999
TRK00007,20,89.1,16507.2,25868.97,415.7,825.36
TRK00113,20,95.7,24985.65,34955.26,475.4,1249.2825
TRK00087,20,89.8,28872.47,37807.28,425.3,1443.6235000000001
TRK00114,19,82.9,26071.27,35187.3,469.5,1372.1721052631578
TRK00109,19,76.6,30976.19,38929.71,483.3,1630.3257894736842
TRK00008,19,71.2,25564.55,33024.74,483.0,1345.5026315789473
TRK00009,19,79.2,32208.78,40333.84,522.3,1695.198947368421
TRK00035,19,77.5,32787.56,40952.3,516.8,1725.6610526315787
TRK00043,19,78.0,32772.75,40867.47,488.6,1724.8815789473683
TRK00028,19,71.1,36091.8,43892.35,439.1,1899.5684210526317
TRK00016,18,56.800000000000004,30762.29,36448.05,437.09999999999997,1709.016111111111
TRK00098,18,73.0,33675.07,41318.95,460.3,1870.8372222222222
TRK00116,18,70.8,32326.25,39736.84,366.2,1795.9027777777778
TRK00059,18,67.7,27273.54,34580.8,450.0,1515.1966666666667
TRK00069,18,66.0,28213.2,35126.99,366.7,1567.4
TRK00101,18,77.2,24794.3,32866.18,404.4,1377.461111111111
TRK00084,17,84.5,25956.02,34743.79,372.0,1526.8247058823529
TRK00107,17,73.39999999999999,23755.379999999997,31131.25,341.2,1397.375294117647
TRK00097,17,65.9,32524.89,39758.74,431.8,1913.2288235294118
TRK00076,17,69.2,22865.96,30133.21,388.90000000000003,1345.0564705882352
TRK00019,16,63.1,21975.600000000002,28662.15,337.1,1373.4750000000001
TRK00094,16,66.4,29958.08,36539.82,421.3,1872.38
TRK00049,16,76.9,24682.83,33245.43,339.8,1542.676875
TRK00047,16,60.0,22025.32,28243.39,397.2,1376.5825
TRK00074,16,73.6,25276.72,33044.85,459.2,1579.795
TRK00117,15,47.0,20774.99,25579.03,271.0,1384.9993333333334
TRK00070,15,78.0,27949.45,36142.32,307.7,1863.2966666666666
TRK00036,14,44.3,23041.03,27522.41,323.9,1645.787857142857
TRK00083,10,43.0,7391.540000000001,11896.279999999999,247.9,739.1540000000001
