truck_id,make,model_year,status,trips_count,total_miles,total_fuel,avg_mpg,total_hours,total_revenue,cost_per_mile,miles_per_trip,revenue_per_mile,truck_age
TRK00083,Kenworth,2015.0,Active,902,1285053,198842.5,6.5116740576496674,22483.7,2763558.6,0.5415720207649023,1424.6707317073171,2.1505405613620607,11.0
TRK00084,Freightliner,2015.0,Active,927,1333901,206909.0,6.497864077669903,23354.6,2830994.87,0.5429049832034012,1438.9439050701187,2.1223425651528864,11.0
TRK00085,Kenworth,2015.0,Active,924,1304076,202744.3,6.483885281385281,22798.5,2827648.26,0.5441439379299979,1411.3376623376623,2.1683155429591525,11.0
TRK00086,Freightliner,2015.0,Active,927,1328872,207027.0,6.48066882416397,23233.1,2871427.36,0.5452703495897272,1433.5188781014024,2.1608005586693073,11.0
TRK00089,International,2019.0,Active,900,1286255,199317.7,6.519055555555555,22484.8,2780979.56,0.5423589801400189,1429.1722222222222,2.1620748296410897,7.0
TRK00090,Volvo,2017.0,Active,881,1255174,195724.4,6.4823496027241765,21952.0,2689964.85,0.5457692718300411,1424.7150964812713,2.1431011556963417,9.0
TRK00091,International,2015.0,Active,901,1307376,202319.7,6.51023307436182,22905.6,2815186.47,0.5416337381135955,1451.0277469478358,2.153310501340089,11.0
TRK00092,Volvo,2015.0,Active,902,1324217,207039.7,6.462882483370289,23117.3,2805193.13,0.5472206972120129,1468.089800443459,2.1183787324887082,11.0
TRK00093,Peterbilt,2015.0,Active,902,1281778,197690.5,6.540033259423503,22418.1,2748259.26,0.5398101309275085,1421.039911308204,2.1440992589980477,11.0
TRK00095,Mack,2015.0,Active,927,1281742,198153.8,6.508015102481123,22464.2,2774709.48,0.5410904066497001,1382.6774541531822,2.1647956296977084,11.0
TRK00096,Kenworth,2018.0,Active,855,1221247,188349.7,6.5230409356725145,21318.7,2613332.33,0.5397957579424966,1428.3590643274854,2.139888433707514,8.0
TRK00097,Peterbilt,2016.0,Active,920,1351692,209478.0,6.489239130434783,23576.7,2891360.42,0.5424112889622784,1469.2304347826087,2.1390674946659445,10.0
TRK00098,Peterbilt,2018.0,Active,911,1307617,202135.3,6.5290889132821075,22888.0,2804668.72,0.5410403428526854,1435.364434687157,2.1448701875243286,8.0
TRK00099,Freightliner,2015.0,Active,894,1291808,199677.8,6.50592841163311,22638.3,2778323.05,0.541003229582105,1444.9753914988814,2.150724449763432,11.0
TRK00101,Peterbilt,2015.0,Active,884,1241401,192221.1,6.517658371040723,21820.8,2671810.55,0.5419472434773293,1404.2997737556561,2.1522542272803067,11.0
TRK00103,Freightliner,2015.0,Active,872,1249776,194010.6,6.494415137614679,21879.7,2675970.66,0.5433270442063217,1433.2293577981652,2.141160223912125,11.0
TRK00105,Volvo,2015.0,Active,926,1300130,201863.6,6.498304535637149,22659.0,2799866.01,0.5434245806188611,1404.0280777537796,2.1535277318422,11.0
TRK00106,Volvo,2017.0,Active,938,1374432,212739.4,6.494296375266524,23915.9,2921375.93,0.5417422615305814,1465.2793176972282,2.1255150709529467,9.0
TRK00107,Mack,2017.0,Active,930,1389705,215666.7,6.491989247311828,24341.9,3022073.78,0.5431609226418557,1494.3064516129032,2.174615317639355,9.0
TRK00108,Volvo,2015.0,Active,858,1199508,186128.3,6.498181818181818,21052.9,2570997.66,0.5430968780533352,1398.027972027972,2.143376834502146,11.0
TRK00110,Peterbilt,2016.0,Active,911,1313932,203781.3,6.500812294182217,23041.5,2810842.18,0.542824552564364,1442.2963776070253,2.1392600073672003,10.0
TRK00111,Kenworth,2015.0,Active,929,1319779,205248.1,6.487707212055974,22993.4,2822174.76,0.544309577588369,1420.6447793326158,2.138369196660956,11.0
TRK00112,Volvo,2016.0,Active,939,1316045,203711.4,6.512310969116081,23089.2,2827233.72,0.5417671128266891,1401.53887113951,2.1482804311402726,10.0
TRK00113,Mack,2015.0,Active,880,1265996,198111.5,6.4774318181818185,22232.2,2697325.8,0.547703349773617,1438.6318181818183,2.1305958312664495,11.0
TRK00114,Volvo,2016.0,Active,908,1319798,205317.4,6.484405286343613,23065.4,2823574.66,0.5444855197537806,1453.5220264317181,2.1393991050145553,10.0
TRK00115,Peterbilt,2015.0,Active,948,1341222,208159.5,6.521951476793249,23402.1,2868170.34,0.5432048162049236,1414.7911392405063,2.138475464911849,11.0
TRK00116,International,2019.0,Active,906,1310738,203218.4,6.499326710816778,22767.1,2815781.04,0.5426442202789574,1446.7306843267108,2.1482409451774496,7.0
TRK00120,Volvo,2017.0,Active,891,1309585,203385.0,6.4871829405162735,22933.1,2826856.93,0.5435672369491098,1469.7923681257014,2.1585898815273543,9.0
