route_id,trips_count,total_distance,total_fuel,avg_mpg,total_revenue,fuel_cost,estimated_operating_cost,profit,profit_margin,cost_per_mile,revenue_per_mile
RTE00026,1440,2944131,456955.9,6.494451388888889,4906933.67,1599345.6500000001,2079149.3450000002,2827784.3249999997,57.62833808593136,0.7062013697760052,1.6666831978604213
RTE00027,1491,1950294,302440.1,6.5011267605633805,3834651.27,1058540.3499999999,1376102.4549999998,2458548.8150000004,64.11401303253321,0.7055871858294185,1.966191389605875
RTE00028,1518,3394000,526200.1,6.501073781291172,6233044.36,1841700.3499999999,2394210.455,3838833.9050000003,61.58842586835047,0.7054244121979965,1.8364892044784915
RTE00029,1467,3964388,615586.0,6.492283571915474,9516077.71,2154551.0,2800916.3000000003,6715161.41,70.56648353074452,0.7065192155762756,2.400390100565333
RTE00030,1445,3195712,496835.3,6.485301038062284,7681556.33,1738923.55,2260600.615,5420955.715,70.57105984927405,0.7073855888765948,2.403707320935053
RTE00031,1505,991343,153888.4,6.494279069767441,2106384.19,538609.4,700192.2200000001,1406191.9699999997,66.7585702872181,0.706306717251244,2.124778396579186
RTE00032,1472,3420338,531043.5,6.489741847826087,6621835.8,1858652.25,2416247.9250000003,4205587.875,63.51090546521857,0.7064354239259396,1.9360179607980263
RTE00033,1491,255668,39605.6,6.506519114688128,600190.85,138619.6,180205.48,419985.37,69.97530368881831,0.7048417478917972,2.3475399737159126
RTE00034,1472,3533761,548406.8,6.496256793478261,7264971.31,1919423.8000000003,2495250.9400000004,4769720.369999999,65.65367110857866,0.7061176293473159,2.055875117191004
RTE00035,1441,1821282,282772.5,6.491526717557252,2990648.75,989703.75,1286614.875,1704033.875,56.978736636992224,0.7064336412483075,1.6420569412095436
RTE00036,1522,410033,63694.8,6.489382391590013,1047474.47,222931.80000000002,289811.34,757663.1299999999,72.3323719765695,0.7068000380457183,2.5546101655232625
RTE00037,1477,3895558,603383.8,6.5064048747461065,5770647.8,2111843.3000000003,2745396.2900000005,3025251.5099999993,52.42481632651362,0.7047504593693639,1.4813404908873131
RTE00038,1425,1925399,298328.1,6.504989473684211,5053014.94,1044148.3499999999,1357392.8549999997,3695622.085000001,73.13697127125455,0.7049930196286587,2.624398859664932
RTE00039,1440,1547599,240130.5,6.495048611111112,3128669.1,840456.75,1092593.7750000001,2036075.325,65.07800153745885,0.7059928153223155,2.0216277601626778
RTE00040,1444,2601698,403549.2,6.498116343490305,6021487.56,1412422.2,1836148.86,4185338.6999999993,69.50672335192867,0.7057501908369074,2.314445243068181
RTE00041,1429,1788217,277315.2,6.498607417774668,4784672.48,970603.2000000001,1261784.1600000001,3522888.3200000003,73.62862003043519,0.7056102027885878,2.6756665885627977
RTE00042,1447,3912108,606634.6,6.4996199032481,9070885.01,2123221.1,2760187.43,6310697.58,69.5709136764815,0.705549905575204,2.318669374669615
RTE00043,1500,2407265,373102.0,6.505106666666666,3616131.16,1305857.0,1697614.1,1918517.06,53.05441022775291,0.7052044955582373,1.5021741104531492
RTE00044,1410,3817963,592758.4,6.491567375886525,9979091.72,2074654.4000000001,2697050.72,7282041.0,72.97298395810314,0.7064109107395751,2.6137214320830244
RTE00045,1514,929062,143197.7,6.540270805812417,2097068.56,501191.95000000007,651549.5350000001,1445519.025,68.93046095736611,0.7012982287511492,2.2571890358232283
RTE00046,1534,3583020,555294.4,6.5054889178618,9501202.04,1943530.4000000001,2526589.5200000005,6974612.519999999,73.40768558164457,0.7051564099558474,2.651730115935719
RTE00047,1628,797500,123471.3,6.509416461916462,1595152.57,432149.55,561794.415,1033358.155,64.78114848913793,0.704444407523511,2.0001913103448277
RTE00048,1525,3661229,567934.2,6.499619672131147,9586536.9,1987769.6999999997,2584100.61,7002436.290000001,73.0444827266038,0.7058014153170971,2.618393140663968
RTE00049,1461,1080767,167333.0,6.510602327173169,2752205.19,585665.5,761365.15,1990840.04,72.33617781238179,0.7044674291498538,2.546529631271125
RTE00050,1472,1079275,167352.4,6.500020380434783,2032107.1,585733.4,761453.42,1270653.6800000002,62.52887360119948,0.7055230779921707,1.882844594751106
RTE00051,1480,2805110,434663.0,6.506324324324325,5047294.12,1521320.5,1977716.6500000001,3069577.4699999997,60.816298733944194,0.7050406757667258,1.799321281518372
RTE00052,1490,1233002,190987.3,6.507161073825503,1950967.02,668455.5499999999,868992.215,1081974.8050000002,55.458385196075746,0.7047776199876399,1.5822902314838094
RTE00053,1386,1109332,171995.0,6.501262626262626,2529485.88,601982.5,782577.25,1746908.63,69.06180595085986,0.705449090083041,2.2801883295532805
RTE00054,1472,2361043,364503.6,6.528281249999999,4603410.16,1275762.5999999999,1658491.38,2944918.7800000003,63.97254812506215,0.7024401419203292,1.9497358413209755
RTE00055,1443,2120245,329523.9,6.4872695772695765,5170899.4,1153333.6500000001,1499333.7450000003,3671565.6550000003,71.00439151842714,0.7071511759254239,2.43882164561171
RTE00056,1471,2603304,403298.4,6.505030591434398,6234118.29,1411544.4000000001,1835007.7200000002,4399110.57,70.56508018233322,0.7048764646771949,2.394694699504937
RTE00057,1469,1392714,215043.7,6.527882913546629,3307462.9,752652.9500000001,978448.8350000001,2329014.065,70.41693695188539,0.7025482870137013,2.3748328084588795
RTE00058,1432,765028,118351.9,6.51574720670391,1682085.01,414231.64999999997,538501.145,1143583.865,67.98609215357077,0.7038973017981042,2.1987234584877937
