trip_id,on_time_flag,detention_minutes,driver_id,truck_id
TRIP00000116,0.5,321,DRV00147,TRK00114
TRIP00000117,1.0,7,DRV00018,TRK00091
TRIP00000118,0.5,251,DRV00127,TRK00085
TRIP00000119,0.5,0,DRV00019,TRK00069
TRIP00000120,0.0,213,DRV00069,TRK00038
TRIP00000121,0.5,116,DRV00113,TRK00099
TRIP00000122,0.0,274,DRV00015,TRK00112
TRIP00000123,1.0,219,DRV00101,TRK00095
TRIP00000124,0.0,62,DRV00119,TRK00050
TRIP00000125,1.0,178,DRV00111,TRK00045
TRIP00000126,0.0,120,DRV00017,TRK00097
TRIP00000127,1.0,141,DRV00108,TRK00114
TRIP00000128,0.5,21,DRV00119,TRK00051
TRIP00000129,0.0,289,DRV00110,TRK00029
TRIP00000130,1.0,317,DRV00103,TRK00025
TRIP00000131,0.5,188,DRV00105,TRK00030
TRIP00000132,0.5,102,DRV00066,TRK00016
TRIP00000133,1.0,273,DRV00033,TRK00083
TRIP00000134,0.5,322,DRV00111,TRK00038
TRIP00000135,1.0,89,DRV00012,TRK00038
TRIP00000136,0.0,189,DRV00014,TRK00108
TRIP00000137,0.5,237,DRV00037,TRK00061
TRIP00000138,1.0,241,DRV00083,TRK00059
TRIP00000139,1.0,121,DRV00043,TRK00015
TRIP00000140,0.0,226,DRV00098,TRK00031
TRIP00000141,0.5,318,DRV00107,TRK00033
TRIP00000142,0.0,224,DRV00066,TRK00057
TRIP00000143,1.0,108,DRV00071,TRK00024
TRIP00000144,0.0,28,DRV00149,TRK00105
TRIP00000145,0.5,220,DRV00014,TRK00067
TRIP00000146,0.5,296,DRV00020,TRK00080
TRIP00000147,0.5,217,DRV00001,TRK00079
TRIP00000148,0.5,93,DRV00095,TRK00072
TRIP00000149,0.0,162,DRV00037,TRK00030
TRIP00000150,0.5,70,DRV00146,TRK00089
TRIP00000151,0.0,127,DRV00120,TRK00052
TRIP00000152,0.0,173,DRV00146,TRK00097
TRIP00000153,1.0,138,DRV00002,TRK00035
TRIP00000154,0.5,191,DRV00122,TRK00080
TRIP00000155,1.0,317,DRV00063,TRK00112
TRIP00000156,0.0,154,DRV00055,TRK00013
TRIP00000157,0.0,275,DRV00079,TRK00041
TRIP00000158,0.0,74,DRV00024,TRK00031
TRIP00000159,1.0,279,DRV00090,
TRIP00000160,0.5,327,DRV00087,TRK00001
TRIP00000161,1.0,242,DRV00114,TRK00029
TRIP00000162,0.0,178,DRV00127,TRK00011
TRIP00000163,0.5,210,DRV00089,TRK00112
TRIP00000164,0.5,376,DRV00069,TRK00045
TRIP00000165,0.5,134,DRV00033,TRK00090
TRIP00000166,0.0,1,DRV00045,TRK00067
TRIP00000167,1.0,39,DRV00017,TRK00120
TRIP00000168,0.5,186,DRV00145,TRK00055
TRIP00000169,0.5,315,DRV00074,TRK00055
TRIP00000170,0.5,123,DRV00003,TRK00092
TRIP00000171,0.5,225,DRV00049,TRK00115
TRIP00000172,0.0,231,DRV00133,TRK00080
TRIP00000173,1.0,198,DRV00149,TRK00026
TRIP00000174,0.5,26,DRV00139,TRK00057
TRIP00000175,0.5,5,DRV00082,TRK00002
TRIP00000176,1.0,125,DRV00036,TRK00086
TRIP00000177,1.0,138,DRV00075,TRK00074
TRIP00000178,1.0,219,DRV00056,TRK00096
TRIP00000179,1.0,242,DRV00003,TRK00103
TRIP00000180,1.0,60,DRV00019,TRK00013
TRIP00000181,0.0,193,DRV00145,TRK00086
TRIP00000182,0.5,210,DRV00065,TRK00058
TRIP00000183,0.0,128,DRV00078,TRK00029
TRIP00000184,0.5,252,DRV00107,TRK00026
TRIP00000185,1.0,366,DRV00063,TRK00092
TRIP00000186,0.5,79,DRV00123,TRK00110
TRIP00000187,0.0,127,DRV00095,TRK00053
TRIP00000188,0.0,194,DRV00050,TRK00065
TRIP00000189,0.5,296,DRV00010,TRK00112
TRIP00000190,0.5,196,DRV00111,TRK00105
TRIP00000191,1.0,239,DRV00138,TRK00035
TRIP00000192,1.0,112,DRV00091,TRK00053
TRIP00000193,1.0,274,DRV00113,TRK00015
TRIP00000194,0.0,160,DRV00100,TRK00026
TRIP00000195,0.5,0,DRV00138,TRK00020
TRIP00000196,0.0,192,DRV00147,TRK00026
TRIP00000197,0.5,365,DRV00108,TRK00108
TRIP00000198,0.5,363,DRV00127,TRK00058
TRIP00000199,1.0,205,DRV00035,TRK00057
TRIP00000200,0.5,175,DRV00041,TRK00012
TRIP00000201,1.0,121,DRV00142,TRK00004
TRIP00000202,1.0,292,DRV00114,TRK00071
TRIP00000203,0.5,149,DRV00103,TRK00101
TRIP00000204,0.5,64,DRV00089,TRK00111
TRIP00000205,0.5,8,DRV00095,TRK00079
TRIP00000206,1.0,222,DRV00011,TRK00015
TRIP00000207,0.0,290,DRV00059,TRK00010
TRIP00000208,0.5,289,DRV00124,TRK00031
TRIP00000209,1.0,74,DRV00065,TRK00110
TRIP00000210,0.5,102,DRV00083,TRK00116
TRIP00000211,1.0,146,DRV00005,TRK00105
TRIP00000212,0.5,178,DRV00004,TRK00049
TRIP00000213,0.5,183,DRV00099,TRK00035
TRIP00000214,0.5,180,DRV00012,TRK00009
TRIP00000215,1.0,273,DRV00006,TRK00011
TRIP00000216,0.5,157,DRV00101,TRK00010
TRIP00000217,1.0,311,DRV00022,TRK00083
TRIP00000218,1.0,262,DRV00132,TRK00019
TRIP00000219,1.0,239,DRV00044,TRK00035
TRIP00000220,0.5,124,DRV00082,TRK00084
TRIP00000221,1.0,191,DRV00147,TRK00008
TRIP00000222,1.0,28,DRV00107,TRK00053
TRIP00000223,0.5,237,DRV00084,TRK00041
TRIP00000224,0.5,239,DRV00047,TRK00060
TRIP00000225,1.0,113,DRV00047,TRK00020
TRIP00000226,0.0,270,DRV00148,TRK00101
TRIP00000227,1.0,128,DRV00097,TRK00033
TRIP00000228,0.0,343,DRV00001,TRK00041
TRIP00000229,1.0,156,DRV00101,TRK00033
TRIP00000230,0.5,169,DRV00091,TRK00082
TRIP00000231,0.5,240,DRV00148,TRK00095
TRIP00000232,1.0,148,DRV00088,TRK00062
TRIP00000233,1.0,131,DRV00074,TRK00024
TRIP00000234,0.0,93,DRV00029,TRK00091
TRIP00000235,0.5,106,DRV00041,TRK00016
TRIP00000236,0.5,116,DRV00037,TRK00099
TRIP00000237,0.0,176,DRV00090,TRK00019
TRIP00000238,0.5,201,DRV00094,TRK00012
TRIP00000239,0.5,320,DRV00034,TRK00091
TRIP00000240,0.0,181,DRV00113,TRK00107
TRIP00000241,1.0,104,DRV00062,TRK00061
TRIP00000242,1.0,133,DRV00034,TRK00076
TRIP00000243,0.0,53,DRV00013,TRK00002
TRIP00000244,0.5,1,DRV00074,TRK00055
TRIP00000245,0.5,58,DRV00087,TRK00026
TRIP00000246,0.5,192,DRV00014,TRK00116
TRIP00000247,0.5,328,DRV00147,TRK00045
TRIP00000248,0.5,211,DRV00036,TRK00031
TRIP00000249,0.5,351,DRV00003,TRK00107
TRIP00000250,1.0,94,DRV00005,TRK00048
TRIP00000251,1.0,215,DRV00009,TRK00052
TRIP00000252,0.0,288,DRV00015,TRK00085
TRIP00000253,0.5,160,DRV00114,TRK00098
TRIP00000254,0.0,268,DRV00117,TRK00029
TRIP00000255,0.0,59,DRV00016,TRK00048
TRIP00000256,0.5,249,DRV00063,TRK00072
TRIP00000257,0.5,89,,TRK00049
TRIP00000258,0.0,317,DRV00132,TRK00002
TRIP00000259,1.0,173,DRV00111,TRK00008
TRIP00000260,0.5,92,DRV00147,TRK00078
TRIP00000261,0.5,222,DRV00147,TRK00041
TRIP00000262,1.0,304,DRV00120,TRK00095
TRIP00000263,0.5,241,DRV00132,TRK00074
TRIP00000264,0.5,342,DRV00102,TRK00060
TRIP00000265,1.0,229,DRV00132,TRK00033
TRIP00000266,1.0,286,DRV00149,TRK00101
TRIP00000267,0.5,162,DRV00023,TRK00072
TRIP00000268,1.0,327,DRV00139,TRK00080
TRIP00000269,1.0,98,DRV00002,TRK00074
TRIP00000270,0.5,75,DRV00107,TRK00057
TRIP00000271,0.5,222,DRV00124,TRK00093
TRIP00000272,0.5,139,DRV00146,TRK00051
TRIP00000273,0.5,138,DRV00009,TRK00006
TRIP00000274,0.5,220,DRV00066,TRK00114
TRIP00000275,0.5,106,DRV00122,
TRIP00000276,0.5,47,DRV00056,TRK00096
TRIP00000277,0.5,319,DRV00047,TRK00069
TRIP00000278,0.5,288,DRV00078,TRK00083
TRIP00000279,0.5,140,DRV00019,TRK00014
TRIP00000280,0.5,224,DRV00087,TRK00112
TRIP00000281,0.5,153,DRV00058,TRK00061
TRIP00000282,0.5,199,DRV00077,TRK00002
TRIP00000283,0.5,69,DRV00149,TRK00082
TRIP00000284,1.0,408,DRV00034,TRK00008
TRIP00000285,0.5,57,DRV00117,TRK00054
TRIP00000286,0.5,267,DRV00092,TRK00068
TRIP00000287,1.0,168,DRV00054,TRK00082
TRIP00000288,0.5,72,DRV00082,TRK00069
TRIP00000289,0.5,345,DRV00147,TRK00049
TRIP00000290,0.5,173,DRV00009,TRK00035
TRIP00000291,0.5,0,DRV00001,TRK00057
TRIP00000292,0.5,82,DRV00113,TRK00023
TRIP00000293,0.5,290,DRV00069,TRK00113
TRIP00000294,0.5,96,DRV00109,TRK00049
TRIP00000295,0.5,71,DRV00074,TRK00006
TRIP00000296,1.0,217,DRV00132,TRK00068
TRIP00000297,0.5,237,DRV00145,TRK00020
TRIP00000298,0.5,200,DRV00063,TRK00070
TRIP00000299,0.0,309,DRV00091,TRK00023
TRIP00000300,1.0,322,DRV00143,TRK00098
TRIP00000301,0.0,97,DRV00020,TRK00019
TRIP00000302,0.0,26,DRV00032,TRK00048
TRIP00000303,1.0,309,DRV00050,TRK00108
TRIP00000304,0.0,227,DRV00087,TRK00120
TRIP00000305,0.5,46,DRV00058,TRK00099
TRIP00000306,0.5,149,DRV00047,TRK00023
TRIP00000307,0.0,230,DRV00095,TRK00069
TRIP00000308,0.5,161,DRV00044,TRK00010
TRIP00000309,1.0,404,DRV00104,TRK00073
TRIP00000310,0.5,153,DRV00087,TRK00007
TRIP00000311,0.5,13,DRV00092,TRK00062
TRIP00000312,0.5,309,DRV00132,TRK00064
TRIP00000313,1.0,152,DRV00077,TRK00098
TRIP00000314,0.5,121,DRV00077,TRK00045
TRIP00000315,1.0,318,DRV00036,TRK00071
TRIP00000316,1.0,207,DRV00064,TRK00054
TRIP00000317,1.0,179,DRV00080,TRK00089
TRIP00000318,0.5,303,DRV00079,TRK00110
TRIP00000319,0.5,291,DRV00145,TRK00080
TRIP00000320,0.5,208,DRV00143,TRK00069
TRIP00000321,0.5,71,DRV00128,TRK00084
TRIP00000322,1.0,20,DRV00126,TRK00031
TRIP00000323,0.5,249,DRV00113,TRK00098
TRIP00000324,0.5,311,DRV00141,TRK00001
TRIP00000325,0.0,211,DRV00010,TRK00107
TRIP00000326,0.5,211,DRV00058,TRK00097
TRIP00000327,0.5,232,DRV00074,TRK00010
TRIP00000328,1.0,401,DRV00124,TRK00020
TRIP00000329,0.5,295,DRV00004,TRK00044
TRIP00000330,1.0,281,DRV00003,TRK00041
TRIP00000331,0.5,380,DRV00143,TRK00074
TRIP00000332,1.0,122,DRV00028,TRK00086
TRIP00000333,1.0,94,DRV00085,TRK00113
TRIP00000334,0.5,214,DRV00009,TRK00030
TRIP00000335,0.5,15,DRV00006,TRK00111
TRIP00000336,0.5,165,DRV00127,TRK00015
TRIP00000337,0.5,239,DRV00057,TRK00045
TRIP00000338,1.0,169,DRV00144,TRK00043
TRIP00000339,0.5,148,DRV00124,TRK00026
TRIP00000340,0.5,173,DRV00016,TRK00092
TRIP00000341,0.5,279,DRV00026,TRK00013
TRIP00000342,0.5,119,DRV00012,TRK00025
TRIP00000343,0.0,196,DRV00020,TRK00073
TRIP00000344,1.0,224,DRV00143,TRK00068
TRIP00000345,1.0,292,DRV00121,TRK00105
TRIP00000346,0.5,300,DRV00012,TRK00008
TRIP00000347,0.5,215,DRV00058,TRK00107
TRIP00000348,1.0,188,DRV00038,TRK00011
TRIP00000349,1.0,206,DRV00002,TRK00012
TRIP00000350,0.0,226,DRV00104,TRK00069
TRIP00000351,0.5,199,DRV00015,TRK00116
TRIP00000352,0.5,115,DRV00097,TRK00068
TRIP00000353,0.5,358,DRV00059,TRK00004
TRIP00000354,0.0,303,DRV00122,TRK00112
TRIP00000355,1.0,202,DRV00041,TRK00033
TRIP00000356,0.5,237,DRV00041,TRK00113
TRIP00000357,1.0,331,DRV00039,TRK00084
TRIP00000358,1.0,206,DRV00054,TRK00063
TRIP00000359,0.0,254,DRV00139,TRK00070
TRIP00000360,0.5,223,DRV00010,TRK00067
TRIP00000361,0.5,281,DRV00026,
TRIP00000362,1.0,151,DRV00147,TRK00074
TRIP00000363,0.5,283,DRV00019,TRK00082
TRIP00000364,0.5,151,DRV00059,TRK00009
TRIP00000365,0.5,221,DRV00108,TRK00101
TRIP00000366,0.0,316,DRV00060,TRK00112
TRIP00000367,1.0,159,DRV00082,TRK00062
TRIP00000368,0.5,308,DRV00026,TRK00018
TRIP00000369,1.0,83,DRV00091,TRK00116
TRIP00000370,0.5,16,DRV00024,TRK00078
TRIP00000371,0.5,282,DRV00053,TRK00097
TRIP00000372,1.0,311,DRV00139,TRK00116
TRIP00000373,0.0,196,DRV00100,TRK00099
TRIP00000374,1.0,121,DRV00143,TRK00072
TRIP00000375,1.0,97,DRV00025,TRK00070
TRIP00000376,0.5,266,DRV00065,TRK00101
TRIP00000377,0.5,143,DRV00051,TRK00010
TRIP00000378,0.5,196,DRV00146,TRK00080
TRIP00000379,0.0,70,DRV00129,TRK00105
TRIP00000380,0.0,209,DRV00001,TRK00091
TRIP00000381,0.0,148,DRV00020,TRK00007
TRIP00000382,1.0,151,DRV00122,TRK00083
TRIP00000383,0.5,156,DRV00107,TRK00039
TRIP00000384,1.0,107,DRV00085,TRK00010
TRIP00000385,1.0,135,DRV00004,TRK00096
TRIP00000386,0.5,105,DRV00120,TRK00071
TRIP00000387,1.0,118,DRV00020,TRK00004
TRIP00000388,1.0,62,DRV00111,TRK00043
TRIP00000389,0.5,332,DRV00054,TRK00085
TRIP00000390,0.5,251,DRV00113,TRK00079
TRIP00000391,0.0,278,DRV00023,TRK00063
TRIP00000392,0.0,139,DRV00102,TRK00023
TRIP00000393,0.0,97,DRV00029,TRK00016
TRIP00000394,0.5,302,DRV00060,TRK00011
TRIP00000395,0.5,172,DRV00030,TRK00086
TRIP00000396,1.0,122,DRV00009,TRK00083
TRIP00000397,0.0,218,DRV00038,TRK00076
TRIP00000398,1.0,89,DRV00012,
TRIP00000399,0.5,22,DRV00094,TRK00089
TRIP00000400,1.0,161,DRV00062,
TRIP00000401,0.5,52,DRV00111,TRK00035
TRIP00000402,0.5,35,DRV00033,TRK00067
TRIP00000403,0.0,389,DRV00132,TRK00026
TRIP00000404,0.0,125,DRV00094,TRK00031
TRIP00000405,1.0,182,DRV00049,TRK00050
TRIP00000406,0.0,182,DRV00035,TRK00040
TRIP00000407,0.0,239,DRV00014,TRK00113
TRIP00000408,0.0,153,DRV00015,TRK00084
TRIP00000409,0.5,268,DRV00071,TRK00080
TRIP00000410,0.5,354,DRV00128,TRK00004
TRIP00000411,1.0,205,DRV00085,TRK00080
TRIP00000412,0.5,232,DRV00102,TRK00078
TRIP00000413,0.5,192,DRV00081,TRK00115
TRIP00000414,0.0,88,DRV00124,TRK00063
TRIP00000415,1.0,11,,TRK00025
TRIP00000416,0.0,279,DRV00016,TRK00093
TRIP00000417,0.5,55,DRV00132,TRK00044
TRIP00000418,0.0,163,DRV00127,TRK00082
TRIP00000419,0.0,119,DRV00077,TRK00020
TRIP00000420,1.0,354,DRV00012,TRK00089
TRIP00000421,0.0,27,DRV00142,TRK00067
TRIP00000422,1.0,297,DRV00010,TRK00061
TRIP00000423,0.5,219,DRV00075,TRK00060
TRIP00000424,0.0,178,DRV00145,TRK00082
TRIP00000425,0.0,115,DRV00033,TRK00026
TRIP00000426,0.5,114,DRV00145,TRK00115
TRIP00000427,1.0,23,DRV00085,
TRIP00000428,0.5,258,DRV00016,TRK00051
TRIP00000429,0.0,99,DRV00075,TRK00120
TRIP00000430,1.0,352,DRV00063,TRK00040
TRIP00000431,0.0,20,DRV00013,TRK00016
TRIP00000432,1.0,275,DRV00075,TRK00098
TRIP00000433,1.0,197,DRV00124,TRK00113
TRIP00000434,0.5,60,DRV00005,TRK00090
TRIP00000435,1.0,252,DRV00082,TRK00078
TRIP00000436,0.0,155,DRV00149,TRK00111
TRIP00000437,1.0,148,DRV00001,TRK00074
TRIP00000438,0.5,96,,TRK00052
TRIP00000439,0.0,276,DRV00147,TRK00033
TRIP00000440,0.5,148,DRV00079,TRK00068
TRIP00000441,0.5,116,DRV00101,TRK00095
TRIP00000442,0.0,283,,TRK00071
TRIP00000443,1.0,363,DRV00143,TRK00011
TRIP00000444,0.5,175,DRV00097,TRK00092
TRIP00000445,1.0,99,DRV00043,TRK00061
TRIP00000446,0.5,126,DRV00036,TRK00051
TRIP00000447,1.0,84,DRV00011,TRK00091
TRIP00000448,0.5,19,DRV00022,TRK00120
TRIP00000449,0.5,266,DRV00123,TRK00108
TRIP00000450,0.5,25,,TRK00115
TRIP00000451,0.5,279,DRV00139,TRK00057
TRIP00000452,0.5,72,DRV00144,
TRIP00000453,1.0,100,DRV00108,TRK00096
TRIP00000454,0.5,293,DRV00039,TRK00053
TRIP00000455,1.0,394,DRV00125,TRK00063
TRIP00000456,1.0,129,DRV00059,TRK00073
TRIP00000457,0.5,332,DRV00139,TRK00016
TRIP00000458,0.5,302,DRV00049,TRK00029
TRIP00000459,1.0,261,DRV00132,TRK00091
TRIP00000460,0.5,179,DRV00134,TRK00097
TRIP00000461,1.0,160,DRV00005,TRK00057
TRIP00000462,1.0,267,DRV00143,TRK00025
TRIP00000463,1.0,192,DRV00016,TRK00023
TRIP00000464,1.0,98,DRV00051,TRK00083
TRIP00000465,0.5,26,DRV00058,TRK00091
TRIP00000466,0.0,226,DRV00109,TRK00074
TRIP00000467,0.0,224,DRV00001,TRK00110
TRIP00000468,0.0,178,DRV00146,TRK00015
TRIP00000469,0.5,44,DRV00141,TRK00006
TRIP00000470,0.0,140,DRV00087,TRK00115
TRIP00000471,0.5,102,DRV00050,TRK00009
TRIP00000472,0.0,168,DRV00019,TRK00069
TRIP00000473,0.5,126,DRV00049,TRK00107
TRIP00000474,0.0,20,DRV00108,TRK00029
TRIP00000475,0.0,156,DRV00029,TRK00103
TRIP00000476,0.5,340,DRV00103,TRK00024
TRIP00000477,1.0,301,DRV00105,TRK00013
TRIP00000478,0.0,30,DRV00065,TRK00106
TRIP00000479,0.5,78,DRV00113,TRK00091
TRIP00000480,1.0,206,DRV00011,TRK00090
TRIP00000481,0.5,117,DRV00132,TRK00090
TRIP00000482,0.5,313,DRV00030,TRK00023
TRIP00000483,0.5,232,DRV00103,TRK00071
TRIP00000484,0.5,88,DRV00123,TRK00016
TRIP00000485,0.5,220,DRV00020,TRK00067
TRIP00000486,0.5,239,DRV00101,TRK00048
TRIP00000487,1.0,143,DRV00142,TRK00007
TRIP00000488,0.0,139,,TRK00061
TRIP00000489,0.5,128,DRV00080,TRK00024
TRIP00000490,0.5,300,DRV00013,TRK00035
TRIP00000491,1.0,221,DRV00058,TRK00114
TRIP00000492,0.5,342,DRV00014,TRK00059
TRIP00000493,0.5,108,DRV00036,TRK00083
TRIP00000494,0.5,334,DRV00107,TRK00089
TRIP00000495,0.5,276,DRV00092,TRK00026
TRIP00000496,0.5,104,DRV00085,TRK00112
TRIP00000497,1.0,63,DRV00105,TRK00120
TRIP00000498,0.5,298,DRV00112,TRK00083
TRIP00000499,0.5,223,DRV00036,TRK00099
TRIP00000500,1.0,121,DRV00029,TRK00057
TRIP00000501,0.0,323,DRV00117,TRK00029
TRIP00000502,1.0,147,DRV00123,TRK00038
TRIP00000503,1.0,163,DRV00030,TRK00113
TRIP00000504,0.0,145,DRV00026,TRK00007
TRIP00000505,0.5,87,DRV00126,TRK00061
TRIP00000506,0.0,144,DRV00020,TRK00033
TRIP00000507,0.5,160,DRV00100,TRK00026
TRIP00000508,0.5,32,DRV00033,TRK00058
TRIP00000509,0.5,178,DRV00037,TRK00052
TRIP00000510,0.5,105,DRV00091,TRK00089
TRIP00000511,0.5,240,DRV00074,TRK00111
TRIP00000512,0.5,372,DRV00110,TRK00072
TRIP00000513,0.5,334,DRV00026,TRK00018
TRIP00000514,0.5,49,DRV00128,TRK00082
TRIP00000515,1.0,180,DRV00050,TRK00065
TRIP00000516,0.0,257,DRV00146,TRK00004
TRIP00000517,0.5,132,DRV00029,TRK00074
TRIP00000518,0.5,188,DRV00133,TRK00040
TRIP00000519,0.5,1,DRV00132,TRK00110
TRIP00000520,0.5,286,DRV00020,TRK00025
TRIP00000521,0.0,323,DRV00033,TRK00051
TRIP00000522,0.5,225,DRV00078,TRK00064
TRIP00000523,1.0,193,DRV00047,TRK00010
TRIP00000524,1.0,113,DRV00117,TRK00036
TRIP00000525,0.5,170,DRV00100,TRK00120
TRIP00000526,0.5,44,DRV00119,TRK00025
TRIP00000527,0.5,184,DRV00088,TRK00043
TRIP00000528,1.0,208,DRV00019,TRK00014
TRIP00000529,0.5,161,DRV00126,TRK00116
TRIP00000530,0.5,226,DRV00127,TRK00095
TRIP00000531,0.0,265,DRV00002,TRK00097
TRIP00000532,0.5,154,DRV00003,TRK00071
TRIP00000533,0.5,305,DRV00033,TRK00074
TRIP00000534,1.0,190,DRV00070,TRK00012
TRIP00000535,0.5,0,DRV00143,TRK00016
TRIP00000536,0.5,296,DRV00006,TRK00061
TRIP00000537,0.5,159,DRV00094,TRK00061
TRIP00000538,1.0,65,DRV00107,TRK00004
TRIP00000539,0.5,197,DRV00066,TRK00101
