truck_id,make,trips,total_miles,total_fuel,avg_mpg,calculated_mpg,fuel_cost,cost_per_mile
TRK00026,International,895,1252565,195070.6,6.472581005586592,6.421085494174929,682747.1,0.5450791775277131
TRK00029,International,877,1272712,197679.0,6.496716077537058,6.438276195245828,691876.5,0.5436237734852818
TRK00030,Volvo,894,1296417,201229.5,6.486096196868009,6.442479855090829,704303.25,0.5432690638891653
TRK00031,Kenworth,941,1331252,206900.9,6.485887353878852,6.434249440190932,724153.15,0.5439639902888409
TRK00033,Mack,908,1274427,198007.3,6.504196035242291,6.436262703445783,693025.5499999999,0.5437938383289117
TRK00035,International,932,1343802,208507.7,6.497950643776824,6.4448555137292285,729776.9500000001,0.5430688077559046
TRK00036,Peterbilt,867,1205829,186393.3,6.51847750865052,6.469272232424664,652376.5499999999,0.5410191246022445
TRK00038,International,908,1262396,195956.5,6.5045264317180616,6.442225698050333,685847.75,0.5432904968013207
TRK00039,International,966,1366732,211980.5,6.513995859213251,6.4474420996270885,741931.75,0.5428509393209495
TRK00040,International,860,1178515,182298.5,6.507697674418605,6.464754235498372,638044.75,0.5413972244731717
TRK00041,International,965,1404001,217220.8,6.504466321243524,6.4634740319527415,760272.7999999999,0.5415044576179077
TRK00043,Freightliner,919,1321161,204180.9,6.51620239390642,6.470541563877914,714633.15,0.5409129924361982
TRK00044,Volvo,971,1403922,217625.7,6.499649845520082,6.451085510580781,761689.9500000001,0.5425443507545291
TRK00045,Volvo,854,1242378,192971.1,6.49192037470726,6.438155765293352,675398.85,0.5436339423267315
TRK00048,Volvo,946,1350738,209940.8,6.489830866807611,6.433899461181438,734792.7999999999,0.5439935798060023
TRK00049,Peterbilt,912,1268102,196067.1,6.517543859649122,6.467693968034412,686234.85,0.541151145570309
TRK00050,Peterbilt,956,1338947,208269.7,6.488514644351465,6.42890924604011,728943.9500000001,0.5444158357276279
TRK00051,Mack,912,1312973,202737.4,6.529890350877193,6.476224909661464,709580.9,0.5404383029963297
TRK00052,Freightliner,891,1241107,192093.0,6.5190235690235685,6.460969426267485,672325.5,0.5417143727333743
TRK00053,Peterbilt,964,1378108,214646.5,6.475570539419087,6.420360918999378,751262.75,0.545140692891994
TRK00054,Freightliner,897,1331076,205551.9,6.498762541806021,6.4756200258912715,719431.65,0.5404887850130271
TRK00055,Peterbilt,977,1417530,221046.2,6.473019447287616,6.412822296877304,773661.7000000001,0.5457815354877852
TRK00057,Mack,951,1377066,211494.2,6.543501577287066,6.511128910390923,740229.7000000001,0.5375411926516231
TRK00058,Mack,898,1299089,202170.2,6.474198218262806,6.425719517515439,707595.7000000001,0.5446860838633844
TRK00059,Mack,860,1216720,187297.7,6.559430232558139,6.496182280935644,655541.9500000001,0.5387779850746269
TRK00060,Freightliner,846,1211398,188012.7,6.494657210401891,6.4431711262058355,658044.4500000001,0.5432107779606703
TRK00061,International,904,1268152,196713.7,6.509225663716815,6.446688766466189,688497.9500000001,0.5429143746175538
TRK00062,Mack,909,1273747,197506.8,6.505313531353135,6.449129852744311,691273.7999999999,0.5427088738972495
TRK00063,Peterbilt,869,1229384,191116.2,6.488952819332566,6.432651967755742,668906.7000000001,0.5440990772614578
TRK00064,Kenworth,918,1296870,200396.9,6.524607843137255,6.4715072937755025,701389.15,0.5408322730882819
TRK00065,Freightliner,924,1307946,203360.2,6.4868722943722945,6.43167148734118,711760.7000000001,0.5441820228052229
TRK00067,International,908,1312608,203879.4,6.493678414096917,6.438159029308503,713577.9,0.5436336667154246
TRK00068,Peterbilt,899,1286649,200273.9,6.474449388209121,6.424446720216664,700958.65,0.5447939958761092
TRK00069,Mack,935,1318110,204240.8,6.515411764705882,6.453705625908242,714842.7999999999,0.5423240852432649
TRK00070,Kenworth,943,1319519,204300.9,6.511240721102864,6.4587038040458955,715053.15,0.541904398496725
TRK00071,Mack,911,1269268,196791.4,6.504588364434688,6.449814371969507,688769.9,0.5426512761686263
TRK00072,Volvo,881,1284159,200631.9,6.454097616345063,6.400572391528964,702211.65,0.5468260939649997
TRK00073,Mack,935,1338563,207182.2,6.503101604278075,6.460801169212413,725137.7000000001,0.5417284804674865
TRK00074,Volvo,881,1298052,200848.3,6.5119750283768445,6.462847830925131,702969.0499999999,0.5415569253003731
TRK00076,Kenworth,908,1280075,198370.4,6.506685022026431,6.452953666474434,694296.4,0.5423872819951956
TRK00078,Freightliner,895,1296265,202097.1,6.467027932960893,6.414070266223513,707339.85,0.5456753441618805
TRK00079,Mack,831,1195812,184979.8,6.514981949458484,6.464554508113859,647429.2999999999,0.5414139513569022
TRK00080,Volvo,895,1268474,196097.8,6.512636871508381,6.468578433822308,686342.2999999999,0.5410771525470762
TRK00082,Peterbilt,924,1324616,205834.3,6.49685064935065,6.435351153816444,720420.0499999999,0.5438708652167873
TRK00083,Kenworth,902,1285053,198842.5,6.5116740576496674,6.462667689251544,695948.75,0.5415720207649023
TRK00084,Freightliner,927,1333901,206909.0,6.497864077669903,6.446800284182902,724181.5,0.5429049832034012
TRK00085,Kenworth,924,1304076,202744.3,6.483885281385281,6.43212164287726,709605.0499999999,0.5441439379299979
TRK00086,Freightliner,927,1328872,207027.0,6.48066882416397,6.418834258333454,724594.5,0.5452703495897272
TRK00089,International,900,1286255,199317.7,6.519055555555555,6.453290400200283,697611.9500000001,0.5423589801400189
TRK00090,Volvo,881,1255174,195724.4,6.4823496027241765,6.412966395605249,685035.4,0.5457692718300411
TRK00091,International,901,1307376,202319.7,6.51023307436182,6.461931289933704,708118.9500000001,0.5416337381135955
TRK00092,Volvo,902,1324217,207039.7,6.462882483370289,6.395956910679449,724638.9500000001,0.5472206972120129
TRK00093,Peterbilt,902,1281778,197690.5,6.540033259423503,6.483761232836176,691916.75,0.5398101309275085
TRK00095,Mack,927,1281742,198153.8,6.508015102481123,6.468419984880431,693538.2999999999,0.5410904066497001
TRK00096,Kenworth,855,1221247,188349.7,6.5230409356725145,6.483933874065103,659223.9500000001,0.5397957579424966
TRK00097,Peterbilt,920,1351692,209478.0,6.489239130434783,6.452668060607796,733173.0,0.5424112889622784
TRK00098,Peterbilt,911,1307617,202135.3,6.5290889132821075,6.469018523731382,707473.5499999999,0.5410403428526854
TRK00099,Freightliner,894,1291808,199677.8,6.50592841163311,6.469462303771376,698872.2999999999,0.541003229582105
TRK00101,Peterbilt,884,1241401,192221.1,6.517658371040723,6.4581931952319485,672773.85,0.5419472434773293
TRK00103,Freightliner,872,1249776,194010.6,6.494415137614679,6.441792355675411,679037.1,0.5433270442063217
TRK00105,Volvo,926,1300130,201863.6,6.498304535637149,6.440636152332565,706522.6,0.5434245806188611
TRK00106,Volvo,938,1374432,212739.4,6.494296375266524,6.460636816687459,744587.9,0.5417422615305814
TRK00107,Mack,930,1389705,215666.7,6.491989247311828,6.443762528011973,754833.4500000001,0.5431609226418557
TRK00108,Volvo,858,1199508,186128.3,6.498181818181818,6.444522407393181,651449.0499999999,0.5430968780533352
TRK00110,Peterbilt,911,1313932,203781.3,6.500812294182217,6.447755510441832,713234.5499999999,0.542824552564364
TRK00111,Kenworth,929,1319779,205248.1,6.487707212055974,6.430164274358691,718368.35,0.544309577588369
TRK00112,Volvo,939,1316045,203711.4,6.512310969116081,6.460340462045816,712989.9,0.5417671128266891
TRK00113,Mack,880,1265996,198111.5,6.4774318181818185,6.390320602287096,693390.25,0.547703349773617
TRK00114,Volvo,908,1319798,205317.4,6.484405286343613,6.42808646515103,718610.9,0.5444855197537806
TRK00115,Peterbilt,948,1341222,208159.5,6.521951476793249,6.4432418409921235,728558.25,0.5432048162049236
TRK00116,International,906,1310738,203218.4,6.499326710816778,6.4498982375611655,711264.4,0.5426442202789574
TRK00120,Volvo,891,1309585,203385.0,6.4871829405162735,6.438945841630406,711847.5,0.5435672369491098
