truck_id,maintenance_count,total_labor_hours,total_parts_cost,total_maintenance_cost,total_downtime_hours,cost_per_maintenance
TRK00078,29,133.4,35344.25,48928.87,839.6,1687.2024137931035
TRK00079,22,88.2,30039.56,39365.79,572.4,1789.354090909091
TRK00080,21,69.3,37916.229999999996,44894.62,504.4,2137.839047619048
TRK00081,32,142.1,59035.73,73892.72,711.7,2309.1475
TRK00082,25,94.1,30456.149999999998,40181.67,602.0,1607.2667999999999
TRK00083,10,43.0,7391.540000000001,11896.279999999999,247.9,1189.628
TRK00084,17,84.5,25956.02,34743.79,372.0,2043.7523529411765
TRK00085,30,144.2,33947.55,48812.659999999996,791.2,1627.0886666666665
TRK00086,20,92.8,32968.2,42953.68,432.9,2147.684
TRK00087,20,89.8,28872.47,37807.28,425.3,1890.364
TRK00088,26,117.8,54299.01,66959.88,707.5,2575.38
TRK00089,21,97.0,23462.97,33730.47,611.4,1606.2128571428573
TRK00090,27,88.6,44561.06,53850.82,563.3,1994.4748148148149
TRK00091,26,111.5,47767.86,59491.03,595.3,2288.1165384615383
TRK00092,24,110.0,30108.99,41671.119999999995,433.6,1736.2966666666664
TRK00093,25,89.8,32540.19,41656.12,565.0,1666.2448000000002
TRK00094,16,66.4,29958.08,36539.82,421.3,2283.73875
TRK00095,21,96.9,39656.01,50127.64,439.6,2387.0304761904763
TRK00096,23,107.39999999999999,29579.059999999998,40652.49,515.1,1767.4995652173911
TRK00097,17,65.9,32524.89,39758.74,431.8,2338.7494117647057
TRK00098,18,73.0,33675.07,41318.95,460.3,2295.4972222222223
TRK00099,34,143.0,58017.72,73231.77,743.7,2153.8755882352943
TRK00100,23,90.3,38568.03,47941.29,613.1999999999999,2084.4039130434785
TRK00101,18,77.2,24794.3,32866.18,404.4,1825.898888888889
TRK00102,23,108.5,27465.260000000002,38928.81,567.5,1692.556956521739
TRK00103,29,117.7,42426.77,54986.22,747.2,1896.076551724138
TRK00104,25,98.6,34244.59,44728.9,539.6,1789.156
TRK00105,30,116.6,31379.52,43254.14,805.8,1441.8046666666667
TRK00106,27,127.7,44177.86,57457.909999999996,719.7,2128.070740740741
TRK00107,17,73.39999999999999,23755.379999999997,31131.25,341.2,1831.25
TRK00108,30,126.0,37042.87,49829.9,750.3,1660.9966666666667
TRK00109,19,76.6,30976.19,38929.71,483.3,2048.932105263158
TRK00110,26,110.6,30192.39,41633.69,634.7,1601.2957692307693
TRK00111,28,115.0,44009.8,56532.69,615.3,2019.024642857143
TRK00112,26,108.4,43420.93,55381.53,635.9,2130.058846153846
TRK00113,20,95.7,24985.65,34955.26,475.4,1747.7630000000001
TRK00114,19,82.9,26071.27,35187.3,469.5,1851.963157894737
TRK00115,31,135.7,38268.87,52635.71,767.9,1697.9261290322581
TRK00116,18,70.8,32326.25,39736.84,366.2,2207.602222222222
TRK00117,15,47.0,20774.99,25579.03,271.0,1705.2686666666666
TRK00118,35,154.2,55190.24,71005.77,917.3,2028.736285714286
TRK00119,24,95.7,32863.93,43409.1,489.6,1808.7124999999999
TRK00120,26,89.5,39980.88,49438.39,732.7,1901.4765384615384
